Hồ chứa,LVS/Hồ/Ngày/Giờ,thoi_gian,Lưu vực sông,Mực nước hồ (m),Lưu lượng đến hồ (m³/s),Tổng lưu lượng xả (m³/s)[Yêu cầu],Tổng lưu lượng xả (m³/s)[Thực tế],Tổng lưu lượng xả (m³/s)[+/-],Dòng chảy tối thiểu (m³/s)[Yêu cầu],Dòng chảy tối thiểu (m³/s)[Thực tế],Dòng chảy tối thiểu (m³/s)[+/-],Thời gian xả (Giờ)[Yêu cầu],Thời gian xả (Giờ)[Thực tế],Thời gian xả (Giờ)[+/-],Thực Hiện
Hòa Bình,1,02/01/2018,Hồng,116.21,40,700,480,-220,--,0,--,--,--,--,Không Đúng
Hòa Bình,7,02/01/2018,Hồng,116.12,40,700,1240,540,--,0,--,--,--,--,Đúng
Hòa Bình,13,02/01/2018,Hồng,116.18,1070,700,891,191,--,0,--,--,--,--,Đúng
Hòa Bình,19,02/01/2018,Hồng,116.20,1040,700,422,-278,--,0,--,--,--,--,Không Đúng
Hòa Bình,1,03/01/2018,Hồng,116.14,336,700,802,102,--,0,--,--,--,--,Đúng
Hòa Bình,7,03/01/2018,Hồng,116.07,134,700,757,57,--,0,--,--,--,--,Đúng
Hòa Bình,13,03/01/2018,Hồng,116,868,700,1420,720,--,0,--,--,--,--,Đúng
Hòa Bình,19,03/01/2018,Hồng,116.12,1660,700,1360,660,--,0,--,--,--,--,Đúng
Hòa Bình,1,04/01/2018,Hồng,116.08,540,700,624,-76,--,0,--,--,--,--,Không Đúng
Hòa Bình,7,04/01/2018,Hồng,116.05,470,700,735,35,--,0,--,--,--,--,Đúng
Hòa Bình,13,04/01/2018,Hồng,116.13,1190,700,1190,490,--,0,--,--,--,--,Đúng
Hòa Bình,19,04/01/2018,Hồng,116.14,1280,700,603,-97,--,0,--,--,--,--,Không Đúng
Hòa Bình,1,05/01/2018,Hồng,116.08,540,700,624,-76,--,0,--,--,--,--,Không Đúng
Hòa Bình,7,05/01/2018,Hồng,116.02,437,700,984,284,--,0,--,--,--,--,Đúng
Hòa Bình,13,05/01/2018,Hồng,116.12,1350,700,769,69,--,0,--,--,--,--,Đúng
Hòa Bình,19,05/01/2018,Hồng,116.13,1400,700,806,106,--,0,--,--,--,--,Đúng
Hòa Bình,1,06/01/2018,Hồng,116.15,840,700,689,-11,--,0,--,--,--,--,Không Đúng
Hòa Bình,7,06/01/2018,Hồng,116.16,1090,700,1070,370,--,0,--,--,--,--,Đúng
Hòa Bình,13,06/01/2018,Hồng,116.34,1876,700,1240,540,--,0,--,--,--,--,Đúng
Hòa Bình,19,06/01/2018,Hồng,116.28,302,700,756,56,--,0,--,--,--,--,Đúng
Hòa Bình,1,07/01/2018,Hồng,116.20,409,700,389,-311,--,0,--,--,--,--,Không Đúng
Hòa Bình,7,07/01/2018,Hồng,116.27,1207,700,541,-159,--,0,--,--,--,--,Không Đúng
Hòa Bình,13,07/01/2018,Hồng,116.36,1550,700,221,-479,--,0,--,--,--,--,Không Đúng
Hòa Bình,19,07/01/2018,Hồng,116.43,621,700,221,-479,--,0,--,--,--,--,Không Đúng
Hòa Bình,1,08/01/2018,Hồng,116.43,336,700,221,-479,--,0,--,--,--,--,Không Đúng
Hòa Bình,7,08/01/2018,Hồng,116.39,149,700,797,97,--,0,--,--,--,--,Đúng
Hòa Bình,13,08/01/2018,Hồng,116.43,807,700,510,-190,--,0,--,--,--,--,Không Đúng
Hòa Bình,19,08/01/2018,Hồng,116.36,245,700,589,-111,--,0,--,--,--,--,Không Đúng
Hòa Bình,1,09/01/2018,Hồng,116.46,576,700,556,-144,--,0,--,--,--,--,Không Đúng
Hòa Bình,7,09/01/2018,Hồng,116.39,149,700,797,97,--,0,--,--,--,--,Đúng
Hòa Bình,13,09/01/2018,Hồng,1116.40,1110,700,892,192,--,0,--,--,--,--,Đúng
Hòa Bình,19,09/01/2018,Hồng,116.40,1220,700,678,-22,--,0,--,--,--,--,Không Đúng
Hòa Bình,1,10/01/2018,Hồng,116.44,922,700,598,-102,--,0,--,--,--,--,Không Đúng
Hòa Bình,7,10/01/2018,Hồng,116.46,731,700,643,-57,--,0,--,--,--,--,Không Đúng
Hòa Bình,13,10/01/2018,Hồng,116.50,1060,700,865,165,--,0,--,--,--,--,Đúng
Hòa Bình,19,10/01/2018,Hồng,116.43,150,700,710,10,--,0,--,--,--,--,Đúng
Hòa Bình,1,11/01/2018,Hồng,116.38,140,700,666,-34,--,0,--,--,--,--,Không Đúng
Hòa Bình,7,11/01/2018,Hồng,116.37,474,700,832,132,--,0,--,--,--,--,Đúng
Hòa Bình,13,11/01/2018,Hồng,116.40,1160,700,871,171,--,0,--,--,--,--,Đúng
Hòa Bình,19,11/01/2018,Hồng,116.34,206,700,600,-100,--,0,--,--,--,--,Không Đúng
Hòa Bình,1,12/01/2018,Hồng,115.94,504,700,1920,1220,--,0,--,--,--,--,Đúng
Hòa Bình,7,12/01/2018,Hồng,115.84,977,700,1920,1220,--,0,--,--,--,--,Đúng
Hòa Bình,13,12/01/2018,Hồng,115.34,513,700,1910,1210,--,0,--,--,--,--,Đúng
Hòa Bình,19,12/01/2018,Hồng,115.33,1833,700,1910,1210,--,0,--,--,--,--,Đúng
Hòa Bình,1,13/01/2018,Hồng,116.30,540,700,1910,1210,--,0,--,--,--,--,Đúng
Hòa Bình,7,13/01/2018,Hồng,116.28,1720,700,1910,1210,--,0,--,--,--,--,Đúng
Hòa Bình,13,13/01/2018,Hồng,116.18,964,700,1910,1210,--,0,--,--,--,--,Đúng
Hòa Bình,19,13/01/2018,Hồng,116.09,1060,700,1910,1210,--,0,--,--,--,--,Đúng
Hòa Bình,1,14/01/2018,Hồng,115.54,510,700,1920,1220,--,0,--,--,--,--,Đúng
Hòa Bình,7,14/01/2018,Hồng,115.49,1450,700,1920,1220,--,0,--,--,--,--,Đúng
Hòa Bình,13,14/01/2018,Hồng,115.34,513,700,1910,1210,--,0,--,--,--,--,Đúng
Hòa Bình,19,14/01/2018,Hồng,115.33,1830,700,1910,1210,--,0,--,--,--,--,Đúng
